page,name,rate,time,IP,favor,comment
4,Vanitywish,4,2023/8/28 21:59,上海,0,实在做不进去事的时候想着看部现在的新戏。邓为出场算是眼前一亮，也是整部戏的亮点，表演有感情入戏，可能也比较适合这个人设，但并没有兴趣看他之前的戏。
4,杰克苏爱好者,2,2023/7/27 10:25,北京,28,剧外真的让人很下头
4,白,4,2024/2/12 9:02,北京,14,非要选的话，我还是喜欢涂山璟。
4,浮世·惑,5,2024/1/16 7:52,浙江,16,意难平去追完了小说，还好始终是涂山璟，我站互相救赎，小黄鸭活该孤寡，呸！
4,时光Serene,4,2024/4/1 23:04,北京,8,分别时送你对我最珍贵的九尾狐尾巴，给熟睡的小夭挡好似心中血泪般淌出来的灯油，无论逆境顺境，都怜惜花朵，如怜惜身边人，可惜啊，十五年之约背弃的人却是你自己……涂山璟这个角色本该让人心疼，但是却优柔寡断，总是在等待最好的时机，却被别人一击致命，应了那句“如若违背，凡你所喜，都将成痛，凡你所乐，都将成苦。”用苦衷当理由，也是辜负啊！那两鬓白霜也怨不得旁人！“栀子有栀子的美，风兰有风兰的美。”这句话用在相柳身上也很贴切。我认为他才是本片的灵魂男主！当听到女主说“我害怕你会一不小心进入到我的梦里，”他眼噙热泪，却无奈笑笑，很打动我，而听到女主说“如果你从死斗场里逃出来时，是我救了你那该多好。你可以自由自在不欠任何人的情”，他表面上凉薄，内心情感翻涌，真的是好嗑啊！
4,明明,5,2023/9/9 9:50,广东,148,人设剧情其实就还好，主演们确实将各种心理状态把握到位了，服道化也很优秀能配合剧情，古偶里的五星剧
4,Lily Chou～,2,2024/2/25 17:10,湖北,34,屎一样。。我万万没有想到相柳是最好嗑的一个。。不怎么看国产剧的纯路人，只有檀健次没让我出戏。。。
4,紫霞小姐,3,2024/4/19 12:17,上海,3,就这结尾？
4,山中明日,2,2024/1/6 2:09,北京,53,23暑冠就这？前面期待感其实拉起来了，真假千金+女扮男装+权谋+雄竞，元素叠满，结果一个都没做好。佛了，没想到这么难看，期待了十多集掉马，结果拉了一坨大的。后面的雄竞也是难看得一批，再加上世界观冗余，捏吗权谋就权谋好了非得掺神魔来掩饰幼稚感是吧？就这点东西还絮絮叨叨拉成两季，难看到失眠。结论:远不如22暑期档，以及23暑冠应该给莲花楼。
4,loreleiaaa,5,2023/7/27 15:16,湖北,0,刚看了小六，紫的小六真牛呀，演技爆炸
4,亦行,5,2024/2/3 15:48,安徽,8,在国产剧中脱颖而出
4,Crush,4,2024/3/31 15:08,广东,4,说实话，这是我除了家有儿女第一次看杨紫的剧，亲爱的热爱的没看下去。布景很精致，故事背景很宏大。虽然一开始觉得俩小孩不好看，但是演技把我带进去了。自从杨紫整容之后就一直不喜欢她，不过演技还行。邓为真的宛宛类凡。玄幻剧真好啊，可以大开脑洞，想怎么编都行，现代剧就不行了，总是会代入现实生活来考量。OST好听。女主认亲那里哭麻了啊。张晚意帅啊，我要有角色滤镜了，喜欢这种隐忍的。大结局西炎玱玹赢麻了，感人的爷爷。相柳也不错，爱恨交织，还是白发比较好看，防风邶的黑发看着没那么精致和神化了。叶十七虽有陪伴，但也最懦弱优柔寡断。没想到还有个丰隆哈哈哈哈，也挺好。果然是大女主剧，但是感觉男性角色比女主出色。挺好看的，但是好长，还得等第二季，麻烦。
4,此生未命名,5,2023/9/29 12:26,江苏,347,檀健次可真的太帅了！
4,Imogen,3,2024/1/27 12:43,天津,27,不喜欢男狐狸精
4,莫怀,4,2023/8/31 16:21,陕西,1,居然发现好多独生子女，这是计划生育了吗断线了竟然，赶紧连起来。
5,葵葵甘,4,2024/3/12 3:47,意大利,8,只愿与你长相守。喜欢相柳
5,小步捯饬着,3,2024/2/24 20:41,北京,2,置景不错
5,Sunshine,5,2023/8/26 9:57,辽宁,14,get到张晚意了，太喜欢玱玹了！（这个字太难打了，拼qiang能找到）檀健次的演技一如既往的稳，眼睛会说话，只靠微表情就能展现人物丰富的情感，表演真的很细腻。我觉得小夭对相柳是有心动的。
5,momo,3,2023/8/2 17:31,浙江,766,布景好看其他一般
5,zhdd,5,2024/2/12 19:46,广东,5,好剧。被极其理性、自立自强的女性角色迷倒，再看作者居然是桐华。学生时期看过桐华的《那些回不去的年少时光》，就惊叹桐华怎么把少女暗恋人的心态写得如此细腻。
5,四小溪,3,2024/3/4 22:25,湖北,3,年纪大了是真看不了一点古偶，三男主的人设没有一个能撼动我的老妇心。男主稍好点，隐忍克制，但是听说第二季也疯魔了，瞬间失去了看第二季的兴趣。胜在制作和演员们的演技很牛逼，张晚意yyds。
5,五月.,3,2023/12/31 11:00,北京,21,我愿称之为：乙女电视剧
5,寒  汐,未知,2023/10/20 23:35,江苏,174,十年前看小说我以为我磕的是夭邶，十年后看剧我确定磕的是六柳。这部剧最大的问题在该拍的过程都不拍，拍的都是事后大家的聊天。第一集的小玱玹给表哥加大分，不然直接从清水镇拍得被骂到在罚站墙上抠不下来。敢用同期声的演员就是牛逼，甚至能听到在当下场景空气中的传播感。最后，书粉真的满意相柳，即使在编剧东改一点西删一点的情况下，如果有人能演绎相柳，那除檀健次外想不到第二人。
5,EE,4,2024/2/20 21:46,上海,8,后劲好足改4星‖剧情跌宕起伏撕心裂肺，权谋与情爱融合，但于我而言少了扣动心弦的共鸣感。小夭和涂山璟爱情的建置不充分，我不理解他们的爱情观，痴男虽好，但见过世界的残酷与凉薄，怎会爱一个只退不进、舍不掉原生家庭枷锁的痴人？感觉是剧本的铺垫不够，小夭和表哥的羁绊已经深厚到可以同生共死的地步，处理恋人其实应当再举重若轻一些。论人设，相柳最不适合小夭。但适合我hh，我唯爱藏爱于伤疤、嘴硬心软、孤绝一人的美强惨！檀儿的眼技别太勾人！猎罪图鉴没get到他，这次狠狠爱了！顺便顶锅盖辣评一下男一男二。苍玄人设很饱满我也喜欢，张晚意演技不错适合演权谋，但是为数不多的甜蜜戏演的太夸张，脸丑的很客观hh。为子不动的时候是艳冠群雄的，但是动起来好像ai，全脸全身都是科技感，演技非常违和。至于丰隆，阳光男大但无记忆点。
